x,y
102.15,-86.25487518
102.155,-86.13890839
102.16,-86.21215057
102.165,-86.21215057
102.17,-86.16942596
102.175,-86.13280487
102.18,-86.19994354
102.185,-86.19994354
102.19,-86.1450119
102.195,-86.21825409
102.2,-86.26708221
102.205,-86.16332245
102.21,-86.17552948
102.215,-86.27928925
102.22,-86.19384003
102.225,-86.15111542
102.23,-86.24877167
102.235,-86.24266815
102.24,-86.15111542
102.245,-86.21215057
102.25,-86.24266815
102.255,-86.16942596
102.26,-86.16332245
102.265,-86.27318573
102.27,-86.2243576
102.275,-86.19994354
102.28,-86.21825409
102.285,-86.30370331
102.29,-86.16332245
102.295,-86.19384003
102.3,-86.29149628
102.305,-86.23046112
102.31,-86.181633
102.315,-86.27318573
102.32,-86.15111542
102.325,-86.16942596
102.33,-86.21825409
102.335,-86.23046112
102.34,-86.12059784
102.345,-86.12670135
102.35,-86.23656464
102.355,-86.1450119
102.36,-86.11449432
102.365,-86.21825409
102.37,-86.15721893
102.375,-86.07787323
102.38,33.92943954
102.385,10.98632717
102.39,4.290771008
102.395,2.294921637
102.4,2.679443121
102.405,4.602050304
102.41,6.781005859
102.415,8.82568264
102.42,10.97412014
102.425,12.95776367
102.43,14.53857422
102.435,16.12548637
102.44,17.54760551
102.445,18.84155083
102.45,19.87914848
102.455,20.95336723
102.46,21.78344536
102.465,22.38769341
102.47,23.15673637
102.475,23.791502
102.48,24.04784966
102.485,24.20654106
102.49,24.69482231
102.495,24.82909966
102.5,24.8474102
102.505,25.03051567
102.51,25.03661919
102.515,24.73144341
102.52,24.56664848
102.525,24.51171684
102.53,24.16381645
102.535,23.82812309
102.54,23.57177544
102.545,23.24218559
102.55,22.80273247
102.555,22.43652153
102.56,22.00927544
102.565,21.42944145
102.57,21.00829887
102.575,20.63598442
102.58,20.00732231
102.585,19.40307426
102.59,18.95141411
102.595,18.27392387
102.6,17.56591606
102.605,16.97387505
102.61,16.31469536
102.615,15.44189453
102.62,14.77661133
102.625,14.0625
102.63,13.11035156
102.635,12.11547756
102.64,11.26708889
102.645,10.23559475
102.65,9.234618187
102.655,8.306883812
102.66,7.336425781
102.665,6.115722179
102.67,5.047606945
102.675,3.961181641
102.68,2.612304449
102.685,1.232910037
102.69,-0.006103515
102.695,-1.593017459
102.7,-3.399658203
102.705,-5.078124523
102.71,-6.768798828
102.715,-8.72802639
102.72,-10.79101467
102.725,-12.85400391
102.73,-15.22827148
102.735,-17.71850395
102.74,-20.12328911
102.745,-22.88818169
102.75,-25.80566406
102.755,-28.69262695
102.76,-31.78710938
102.765,-34.97924423
102.77,-38.28124619
102.775,-41.83349228
102.78,-45.94726181
102.785,-50.43944931
102.79,-55.68847656
102.795,-62.50610352
102.8,-70.49559784
102.805,-77.89305878
102.81,-82.47679901
102.815,-84.49095917
102.82,-85.06468964
102.825,-85.2844162
102.83,-85.51024628
102.835,-85.60179901
102.84,-85.58959198
102.845,-85.74828339
102.85,-85.80321503
102.855,-85.77269745
102.86,-85.7543869
102.865,-85.91918182
102.87,-85.86425018
102.875,-85.84593964
102.88,-85.9863205
102.885,-86.01073456
102.89,-85.94359589
102.895,-86.04735565
102.9,-86.0656662
102.905,-85.99852753
102.91,-86.01683807
102.915,-86.10228729
102.92,-86.04125214
102.925,-86.05345917
102.93,-86.15111542
102.935,-86.1450119
102.94,-86.05956268
102.945,-86.15721893
102.95,-86.19994354
102.955,-86.13890839
102.96,-86.12059784
102.965,-86.21825409
102.97,-86.13280487
102.975,-86.09008026
102.98,-86.18773651
102.985,-86.25487518
102.99,-86.12670135
102.995,-86.2243576
103,-86.2243576
103.005,-86.1450119
103.01,-86.16332245
103.015,-86.24266815
103.02,-86.19384003
103.025,-86.10839081
103.03,-86.21825409
103.035,-86.2243576
103.04,-86.1450119
103.045,-86.20604706
103.05,-86.25487518
103.055,-86.17552948
103.06,-86.16332245
